threads,N,mode,eps,maxit,time_sec,iters,residual,rel_err
1,1000000,fast,1e-8,10000,0.0983409,15,8.69791e-09,5.79861e-09
2,1000000,fast,1e-8,10000,0.0494557,15,8.69791e-09,5.79861e-09
4,1000000,fast,1e-8,10000,0.0582625,15,8.69791e-09,5.79861e-09
8,1000000,fast,1e-8,10000,0.0525938,15,8.69791e-09,5.79861e-09
16,1000000,fast,1e-8,10000,0.0542485,15,8.69791e-09,5.79861e-09
